project_name,description,icon_filename,startup_script,scheme,port,host
grafana,"The open and composable observability and data visualization platform. Visualize metrics, logs, and traces from multiple sources",public/img/grafana_icon.svg,start_grafana.sh,http,3603,100.94.150.11
hoppscotch,"Open source API development ecosystem - https://hoppscotch.io (open-source alternative to Postman, Insomnia)",logo.png,start.sh,http,6219,100.94.150.11
restfox,Offline-First Minimalistic HTTP & Socket Testing Client for the Web & Desktop,packages/ui/public/favicon.svg,start.sh,http,6192,100.94.150.11
docmost,Docmost is an open-source collaborative wiki and documentation software. It is an open-source alternative to Confluence and Notion.,apps/client/dist/favicon-32x32.png,start.sh,http,6283,100.94.150.11
dbeaver,Free universal database tool and SQL client,web/icons/logo_sm.svg,run.sh,http,8978,100.94.150.11
uptime-kuma,A fancy self-hosted monitoring tool,public/icon.svg,start.sh,http,5072,100.94.150.11
tomcat,"Apache Tomcat is a web server that is an open source software implementation of the Java Servlet, JavaServer Pages, Java Expression Language and Java WebSocket technologies.",tomcat.png,start_tomcat.sh,http,8020,100.94.150.11
hadoop,The Apache Hadoop software library is a framework that allows for the distributed processing of large data sets across clusters of computers.,hadoop.svg,sbin/start-all.sh,http,6006,100.94.150.11
react-app,Set up a modern web app by running one command.,public/favicon.ico,start.sh,http,5098,100.94.150.11
next,🦍 A configurable component library for web built on React.,app/favicon.ico,start.sh,http,5099,100.94.150.11
aimeos,"Laravel ecommerce package for ultra fast online shops, scalable marketplaces, complex B2B applications and #gigacommerce",public/vendor/shop/themes/default/assets/icon.png,start_aimeos.sh,http,4199,100.94.150.11
prestashop,PrestaShop is the universal open-source software platform to build your e-commerce solution,img/favicon.ico,start.sh,http,4198,100.94.150.11
drawdb,"Free, simple, and intuitive online database diagram editor and SQL generator.",public/favicon.ico,start.sh,http,7821,100.94.150.11
zookeeper,Apache ZooKeeper is an effort to develop and maintain an open-source server which enables highly reliable distributed coordination.,zookeeper.png,bin/zkServer.sh start,http,2081,100.94.150.11
evershop,🛍️ NodeJS E-commerce Platform,logo.png,start.sh,http,6107,100.94.150.11
medusa,The world's most flexible commerce platform.,logo.svg,start.sh,http,6893,100.94.150.11
bagisto,Free and open source laravel eCommerce platform,logo.png,start.sh,http,6819,100.94.150.11
lunar,An open-source package that brings the power of modern headless e-commerce functionality to Laravel.,public/favicon.svg,start.sh,http,5281,100.94.150.11
ofbiz,,ofbiz_logo.svg,start.sh,https,8443,100.94.150.11
microweber,Drag and Drop Website Builder and CMS with E-commerce,public/favicon.ico,start.sh,http,4192,100.94.150.11
opencart,A free shopping cart system. OpenCart is an open source PHP-based online e-commerce solution.,logo.png,start.sh,http,4193,100.94.150.11
pimcore,"Core Framework for the Open Source Data & Experience Management Platform (PIM, MDM, CDP, DAM, DXP/CMS & Digital Commerce)",logo.png,start.sh,http,4194,100.94.150.11
shopware,Shopware 6 is an open commerce platform based on Symfony Framework and Vue and supported by a worldwide community and more than 1.500 community extension,public/media/09/d1/c1/1744992116/favicon.png,start.sh,https,4195,100.94.150.11
sylius,Open Source eCommerce Framework on Symfony,public/favicon.ico,start.sh,http,4196,100.94.150.11
solidus,"🛒 Solidus, the open-source eCommerce framework for industry trailblazers.",public/storefront_favicon.svg,start.sh,http,4918,100.94.150.11
vikunja,The to-do app to organize your life.,frontend/dist/favicon.ico,./vikunja,http,3456,100.94.150.11
docpress,Documentation website generator,logo.png,start.sh,http,6629,100.94.150.11
docfx,Static site generator for .NET API documentation.,_site/favicon.ico,start.sh,http,6628,100.94.150.11
docsify,🃏 A magical documentation site generator.,logo.png,start.sh,http,6627,100.94.150.11
documize,"Modern Confluence alternative designed for internal & external docs, built with Go + EmberJS",logo.png,start.sh,http,6626,100.94.150.11
docus,Write beautiful documentations with Nuxt and Markdown.,logo.png,start.sh,http,6625,100.94.150.11
docusaurus,Easy to maintain open source documentation websites.,static/img/docusaurus.png,start.sh,http,6624,100.94.150.11
fumadocs,The beautiful docs framework with Next.js.,logo.png,start.sh,http,6623,100.94.150.11
mkdocs,Project documentation with Markdown.,logo.png,start.sh,http,6621,100.94.150.11
vocs,"Minimal Documentation Framework, powered by React + Vite.",logo.png,start.sh,http,6620,100.94.150.11
garagehq,S3-compatible object store for small self-hosted geo-distributed deployments https://garagehq.deuxfleurs.fr/,logo.svg,start.sh,http,3909,100.94.150.11
bytebase,"World's most advanced database DevSecOps solution for Developer, Security, DBA and Platform Engineering teams. The GitHub/GitLab for database DevSecOps.",logo.png,start.sh,http,5885,100.94.150.11
chartdb,Database diagrams editor that allows you to visualize and design your DB with a single query.,public/favicon.ico,start.sh,http,8759,100.94.150.11
dremio,Dremio - the missing link in modern data,logo.png,start.sh,http,9047,100.94.150.11
ghost,"Independent technology for modern publishing, memberships, subscriptions and newsletters.",logo.png,start.sh,http,2368,100.94.150.11
